key,enabled,instrumentation_exist
SENSOR_JAVA_JMS,true,true
SENSOR_NODEJS_MYSQL,true,true
JAVA_MQ_TAGGING_FORCIBLE,true,false
SENSOR_JAVA_LOG_ENRICHMENT,false,false
SENSOR_SDK_JAVA_IN_PROCESS_LINKING,true,true
SENSOR_PHP_DRUPAL,false,false
SENSOR_NODEJS_HAPI,true,true
SENSOR_DOTNET_GRPC_ASPNETCORE_FORCIBLE,true,true
SENSOR_PHP_HTTPREQUEST,true,true
SENSOR_NODEJS_MSSQL_FORCIBLE,true,true
SENSOR_ZAGENT_CICS_SOAP,true,true
JAVA_SPRING_KAFKA,false,false
SENSOR_GO_SQL_FORCIBLE,true,true
SENSOR_DOTNET_WCF,true,true
SENSOR_ZAGENT_IMS_TTX,true,true
SENSOR_SDK_JAVA_OUTGOING_REMOTE_CALL,true,true
SENSOR_SDK_NATIVE_CUSTOM_SERVICE,true,true
SENSOR_SDK_NATIVE_OUTGOING_MESSAGING,true,true
SENSOR_NODEJS_MYSQL2_FORCIBLE,true,true
DOTNET_REMOTING_LINK_INSERTION_FEATURE,true,false
SENSOR_ZAGENT_IMS_DLI,true,true
SENSOR_SDK_NATIVE_INCOMING_REMOTE_CALL,true,true
SENSOR_JAVA_MESSAGING,true,true
SENSOR_ZAGENT_IMS_DB2_FETCH,true,true
PHP_REQUEST_ATTRIBUTES,true,false
DOTNET_WCF_SENSOR_V2,false,false
SENSOR_JAVA_IMS_ITRA_FORCIBLE,true,true
SENSOR_SDK_NODEJS_CUSTOM_REQUEST_ATTRIBUTE,true,true
JAVA_OPENTELEMETRY,true,false
SENSOR_NODEJS_EXPRESS,true,true
SENSOR_ZAGENT_CICS_TX,true,true
SENSOR_SDK_NODEJS_DATABASE_REQUEST,true,true
SENSOR_PHP_SYMFONY,false,false
SENSOR_NODEJS_REDIS,true,true
NODEJS_LOG_ENRICHMENT_UNSTRUCTURED,false,false
SENSOR_JAVA_MONGODB,true,true
SENSOR_NODEJS_WEBREQUEST,true,true
SENSOR_DOTNET_THREAD_TAGGING,true,true
SENSOR_ZAGENT_CICS_HTTP,true,true
NODEJS_LOG_ENRICHMENT,false,false
JAVA_METRIC_EXTENSIONS,false,false
SENSOR_NODEJS_KAFKAJS,false,false
